pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-150.0,z,21,3,87,3,,,,,228.57283795900003,229.57291175000046,229.57291175000046,229.57291175000046,229.57291175000046,229.57291175000046,230.57307304200003,230.57307304200003,z,1,0.2681084579999151,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-50.0,x,22,0,88,0,,,,,230.87308154200036,231.87359208399994,231.87359208399994,231.87359208399994,231.87359208399994,231.87359208399994,232.87366350000048,232.87366350000048,x,1,0.31988533300045674,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
150.0,v,22,1,89,1,,,,,233.22334679200048,234.2232493749998,234.2232493749998,234.2232493749998,234.2232493749998,234.2232493749998,235.22368616699987,235.22368616699987,v,1,0.2777447079997728,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
50.0,c,22,2,90,2,,,,,235.52335391700035,236.52266375,236.52266375,236.52266375,236.52266375,236.52266375,237.52387370900033,237.52387370900033,c,1,0.24113404099989566,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-150.0,z,22,3,91,3,,,,,237.78964050000013,238.7899865420004,238.7899865420004,238.7899865420004,238.7899865420004,238.7899865420004,239.789606542,239.789606542,z,1,0.3237991249998231,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-50.0,x,23,0,92,0,,,,,240.13958979200015,241.1398854170002,241.1398854170002,241.1398854170002,241.1398854170002,241.1398854170002,242.140247542,242.140247542,x,1,0.006171206999169954,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
150.0,v,23,1,93,1,,,,,242.1728089999997,243.17373362499984,243.17373362499984,243.17373362499984,243.17373362499984,243.17373362499984,244.1734248749999,244.1734248749999,v,1,0.04163449899988336,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
50.0,c,23,2,94,2,,,,,244.240152417,245.24059141700036,245.24059141700036,245.24059141700036,245.24059141700036,245.24059141700036,246.24014950000037,246.24014950000037,c,1,0.2830060410005899,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-150.0,z,23,3,95,3,,,,,246.54045000000042,247.53996533400004,247.53996533400004,247.53996533400004,247.53996533400004,247.53996533400004,248.53957016700042,248.53957016700042,z,1,0.17824099999961618,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
50.0,c,,,,,0,0,0,2,248.74667933399996,249.74044462500024,249.74044462500024,249.74044462500024,249.74044462500024,249.7572444590005,250.74053749999985,250.74053749999985,x,0,0.24485395800002152,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
150.0,v,,,,,0,1,1,1,251.0069922089997,252.00736779199997,252.00736779199997,252.00736779199997,252.00736779199997,252.00736779199997,253.00685066700044,253.00685066700044,v,1,0.5336281659992892,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-50.0,x,,,,,0,2,2,0,253.57333554199977,254.57328508400042,254.57328508400042,254.57328508400042,254.57328508400042,254.57328508400042,255.57392566700037,255.57392566700037,x,1,0.4646289579995937,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-150.0,z,,,,,0,3,3,3,256.05696575,257.0567061669999,257.0567061669999,257.0567061669999,257.0567061669999,257.0567061669999,258.05701983400013,258.05701983400013,z,1,0.4556545819996245,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
150.0,v,,,,,1,0,4,1,258.53972941699976,259.54023979199974,259.54023979199974,259.54023979199974,259.54023979199974,259.54023979199974,260.54057308400024,260.54057308400024,v,1,0.7577832489996581,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
50.0,c,,,,,1,1,5,2,261.3229264170004,262.32396574999984,262.32396574999984,262.32396574999984,262.32396574999984,262.32396574999984,263.3234430000002,263.3234430000002,c,1,0.5477206659998046,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-150.0,z,,,,,1,2,6,3,263.890240875,264.88993674999983,264.88993674999983,264.88993674999983,264.88993674999983,264.88993674999983,265.8905131669999,265.8905131669999,z,1,0.6320224999999482,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-50.0,x,,,,,1,3,7,0,266.54078620899963,267.5406269169998,267.5406269169998,267.5406269169998,267.5406269169998,267.5406269169998,268.54015204200005,268.54015204200005,x,1,0.47689333299967984,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
50.0,c,,,,,2,0,8,2,269.04017495900007,270.0401625000004,270.0401625000004,270.0401625000004,270.0401625000004,270.0401625000004,271.03987979199974,271.03987979199974,c,1,0.5033450829996582,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
